clip,sampleIndex,timeUtc,latitude,longitude,speed,speedUnits,fixStatus,accelX,accelY,accelZ,accelUnits
20260713052815_000199F.MP4,20,2026-07-13T10:28:35+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.096,-0.096,,g (estimated)
20260713052815_000199F.MP4,21,2026-07-13T10:28:36+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.096,,g (estimated)
20260713052815_000199F.MP4,22,2026-07-13T10:28:37+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,23,2026-07-13T10:28:38+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,24,2026-07-13T10:28:39+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,25,2026-07-13T10:28:40+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,26,2026-07-13T10:28:41+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,27,2026-07-13T10:28:42+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,28,2026-07-13T10:28:43+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,29,2026-07-13T10:28:44+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,30,2026-07-13T10:28:45+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,31,2026-07-13T10:28:46+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,32,2026-07-13T10:28:47+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,33,2026-07-13T10:28:48+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,34,2026-07-13T10:28:49+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,35,2026-07-13T10:28:50+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,36,2026-07-13T10:28:51+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,37,2026-07-13T10:28:52+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,38,2026-07-13T10:28:53+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,39,2026-07-13T10:28:54+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,40,2026-07-13T10:28:55+00:00,40.8111613,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,41,2026-07-13T10:28:56+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,42,2026-07-13T10:28:57+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,43,2026-07-13T10:28:58+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.096,,g (estimated)
20260713052815_000199F.MP4,44,2026-07-13T10:28:59+00:00,40.8111572,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,45,2026-07-13T10:29:00+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,46,2026-07-13T10:29:01+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
20260713052815_000199F.MP4,47,2026-07-13T10:29:02+00:00,40.8111532,-96.6894694,0.0,mph,active,-0.048,-0.14400000000000002,,g (estimated)
