point_idx,video_time_sec,true_time_local,true_time_utc,trip,click_lat,click_lon,confidence_pct,notes,triggers,trigger_labels,custom_trigger,trg_enter_intersection,trg_exit_intersection,trg_begin_stop,trg_finish_stop,trg_blinker_on,trg_lane_change_begin,trg_lane_change_finish,trg_turn_begin_nonint,trg_turn_finish_nonint,location_held,stop_group,wire_yellow,wire_green,signal_state,gps_mean_lat,gps_mean_lon,garmin_lat,garmin_lon,gopro_lat,gopro_lon,redtiger_lat,redtiger_lon,rove_lat,rove_lon
365,3470.51,2026-07-13T06:25:50.507212-05:00,2026-07-13T11:25:50.507212+00:00,3,40.811162062331285,-96.69043578207493,65,,turn_finish_nonint,finish turn that is not an intersection,,0,0,0,0,0,0,0,0,1,no,,0,0,off,40.8112208,-96.6904342,40.8112193,-96.6904296,40.8111928,-96.6904378,40.8112508,-96.690446,40.8112203,-96.6904232
366,3474.75,2026-07-13T06:25:54.753089-05:00,2026-07-13T11:25:54.753089+00:00,3,40.810957533945256,-96.69042371213438,65,,turn_begin_nonint,start turn that is not at an intersection,,0,0,0,0,0,0,0,1,0,no,,1,0,left,40.8110551,-96.6904385,40.811057,-96.6904344,40.8110348,-96.6904465,40.8110718,-96.690446,40.8110567,-96.6904272
367,3481.62,2026-07-13T06:26:01.615038-05:00,2026-07-13T11:26:01.615038+00:00,3,40.810868208824076,-96.69005021452904,65,,turn_begin_nonint|turn_finish_nonint,start turn that is not at an intersection|finish turn that is not an intersection,,0,0,0,0,0,0,0,1,1,no,,1,1,right,40.8108744,-96.6902058,40.8108761,-96.6902026,40.8108665,-96.6902066,40.8108887,-96.6902181,40.8108662,-96.6901957
368,3490.49,2026-07-13T06:26:10.487622-05:00,2026-07-13T11:26:10.487622+00:00,3,40.81060429533659,-96.68990068137647,65,,turn_finish_nonint,finish turn that is not an intersection,,0,0,0,0,0,0,0,0,1,no,,0,0,off,40.8106782,-96.689905,40.8106808,-96.6898999,40.810667,-96.6899135,40.8106893,-96.6899251,40.8106755,-96.6898815
369,3497.46,2026-07-13T06:26:17.457628-05:00,2026-07-13T11:26:17.457628+00:00,3,40.81026983572767,-96.68990671634674,65,,turn_begin_nonint,start turn that is not at an intersection,,0,0,0,0,0,0,0,1,0,no,,1,1,left,40.8103373,-96.6899164,40.8103588,-96.6899273,40.8103307,-96.6899279,40.8103271,-96.6899089,40.8103325,-96.6899013
370,3503.03,2026-07-13T06:26:23.028110-05:00,2026-07-13T11:26:23.028110+00:00,3,40.81019878288216,-96.68967336416246,65,,turn_finish_nonint,finish turn that is not an intersection,,0,0,0,0,0,0,0,0,1,no,,0,0,off,40.810199,-96.6897133,40.8102122,-96.6897299,40.8102015,-96.6897138,40.8101969,-96.6896973,40.8101853,-96.6897123
371,3506.95,2026-07-13T06:26:26.952514-05:00,2026-07-13T11:26:26.952514+00:00,3,40.81020740894395,-96.68952718377115,65,,turn_begin_nonint,start turn that is not at an intersection,,0,0,0,0,0,0,0,1,0,no,,0,0,left,40.810204,-96.6895721,40.8102096,-96.6895779,40.8102062,-96.6895768,40.8102091,-96.6895671,40.810191,-96.6895665
372,3511.25,2026-07-13T06:26:31.250847-05:00,2026-07-13T11:26:31.250847+00:00,3,40.81033581564865,-96.68944336473943,65,,turn_finish_nonint,finish turn that is not an intersection,,0,0,0,0,0,0,0,0,1,no,,0,0,off,40.8103091,-96.6894685,40.8103081,-96.689473,40.8103237,-96.6894817,40.8102987,-96.6894531,40.8103058,-96.6894662
373,3528.79,2026-07-13T06:26:48.789642-05:00,2026-07-13T11:26:48.789642+00:00,3,40.8111595307551,-96.6894017904997,95,,begin_stop,began stopping,,0,0,1,0,0,0,0,0,0,no,50,1,1,brake,40.8111643,-96.689413,40.8111653,-96.6894244,40.8111571,-96.68942,40.8111694,-96.689388,40.8111655,-96.6894195
374,3952.47,2026-07-13T06:33:52.470804-05:00,2026-07-13T11:33:52.470804+00:00,3,40.8111595307551,-96.6894017904997,95,,finish_stop,finished stop,,0,0,0,1,0,0,0,0,0,yes,50,,,nodata,40.8111637,-96.6894226,40.811158,-96.6894254,,,40.8111613,-96.6894206,40.8111717,-96.6894218
