"pointId","timeSec","lap","latitude","longitude","confidencePct","notes","triggers","customTrigger","locationHeld","stopGroup"
66,642.21,1,40.8253409128815,-96.7016899958253,60,,"finish_stop",,TRUE,9
67,643.34,1,40.8253525776558,-96.7016511037946,55,"dark, hard to see area","enter_intersection",,FALSE,
68,646.99,1,40.8255118824463,-96.7013533785939,55,"dark, hard to see area","exit_intersection",,FALSE,
69,652.88,1,40.8258617480356,-96.7006308585405,35,"hard to see location, pole and lines as reference","blinker_on",,FALSE,
70,658.72,1,40.8263003984616,-96.6996924206614,50,,"lane_change_begin",,FALSE,
71,662.51,1,40.8265033638756,-96.6992351040244,50,,"lane_change_finish",,FALSE,
72,671.11,1,40.8266525515933,-96.698882393539,80,,"begin_stop",,FALSE,10
73,733.86,1,40.8266525515933,-96.698882393539,80,,"finish_stop",,TRUE,10
74,735.07,1,40.8266581335186,-96.6988327726722,60,,"enter_intersection",,FALSE,
75,737.64,1,40.826617043326,-96.6987033560872,60,,"exit_intersection",,FALSE,
76,740.85,1,40.8263821328643,-96.6985591873527,45,"using line marks as a reference on road","blinker_on",,FALSE,
77,743.89,1,40.8258839342288,-96.6982681676746,40,"using line marks  and street light as a reference on road","lane_change_begin",,FALSE,
78,747.28,1,40.8255563812382,-96.6979821771383,40,"using line marks  and street light as a reference on road","blinker_on|lane_change_finish",,FALSE,
79,750.66,1,40.8251014630022,-96.6976344957948,40,"using line marks  and street light as a reference on road","lane_change_begin",,FALSE,
80,754.15,1,40.8246680998087,-96.6971932724118,40,"using line marks  and street light as a reference on road","lane_change_finish",,FALSE,
81,762.11,1,40.8237065323689,-96.6962095722556,60,,"enter_intersection",,FALSE,
82,763.75,1,40.823512722142,-96.6959809139371,60,,"exit_intersection",,FALSE,
83,790.81,1,40.8211622605353,-96.6928695514798,65,,"enter_intersection",,FALSE,
84,794.45,1,40.8208157031503,-96.6926100477576,65,,"exit_intersection",,FALSE,
85,838.77,1,40.815964813761,-96.6940584406257,75,,"begin_stop",,FALSE,11
86,846.81,1,40.815964813761,-96.6940584406257,75,,"finish_stop",,TRUE,11
87,849.53,1,40.8159038898436,-96.6940611228347,75,,"enter_intersection",,FALSE,
88,852.23,1,40.8156948422546,-96.6940510645509,75,,"exit_intersection",,FALSE,
89,860.79,1,40.8148077694094,-96.6940597817302,75,,"enter_intersection",,FALSE,
90,862.35,1,40.8145956250724,-96.694064475596,75,,"exit_intersection",,FALSE,
91,873.16,1,40.8138034094953,-96.6940678283572,75,,"begin_stop",,FALSE,12
92,884.37,1,40.8138034094953,-96.6940678283572,75,,"finish_stop",,TRUE,12
93,887.03,1,40.8137501242974,-96.694067157805,75,,"enter_intersection",,FALSE,
94,891.45,1,40.8133989604958,-96.694064475596,75,,"exit_intersection",,FALSE,
95,899.41,1,40.8125980979989,-96.6940718516708,75,,"enter_intersection",,FALSE,
96,900.82,1,40.81236569625,-96.6940765455365,75,,"exit_intersection",,FALSE,
97,919.72,1,40.8103710973047,-96.6940886154771,75,,"enter_intersection",,FALSE,
98,922.74,1,40.8101209187961,-96.6940872743726,75,,"exit_intersection",,FALSE,
99,936.35,1,40.8092936229224,-96.694077886641,75,,"enter_intersection",,FALSE,
100,940.03,1,40.8091855121431,-96.6938210651279,65,,"exit_intersection",,FALSE,
101,954.72,1,40.8091814559956,-96.6917470470071,69,,"blinker_on",,FALSE,
102,956.17,1,40.8091814573718,-96.6915163770318,69,,"lane_change_begin",,FALSE,
103,960.01,1,40.8092149522334,-96.6910986229777,65,,"lane_change_finish",,FALSE,
104,965.54,1,40.8092134303187,-96.6907418891788,75,,"enter_intersection",,FALSE,
105,967.88,1,40.8092316984537,-96.6906480118632,75,,"exit_intersection",,FALSE,
106,982.74,1,40.8100112647611,-96.6906178370118,75,,"begin_stop",,FALSE,13
107,1021.13,1,40.8100112647611,-96.6906178370118,75,,"finish_stop",,TRUE,13
108,1023.75,1,40.8100802772034,-96.6906191781163,75,,"enter_intersection",,FALSE,
109,1026.55,1,40.8102619678957,-96.6906144842505,75,,"exit_intersection",,FALSE,
110,1037.8,1,40.8111978378215,-96.6906057670713,75,,"turn_begin_nonint",,FALSE,
111,1041.22,1,40.8112658364008,-96.6905192658305,75,,"turn_begin_nonint|turn_finish_nonint",,FALSE,
112,1046.06,1,40.8112019107037,-96.6904367879033,75,,"turn_finish_nonint",,FALSE,
113,1051.07,1,40.8109679653317,-96.690430752933,60,,"turn_begin_nonint",,FALSE,
114,1057.07,1,40.810868490137,-96.6901182755828,40,,"turn_finish_nonint",,FALSE,
115,1058.43,1,40.8108623907602,-96.6900351271034,60,,"turn_begin_nonint",,FALSE,
116,1066.81,1,40.81062793942,-96.6899043694139,60,,"turn_finish_nonint",,FALSE,
117,1075.28,1,40.8102868592126,-96.6899003461003,55,,"turn_begin_nonint",,FALSE,
118,1080.63,1,40.8102071687991,-96.6896723583341,45,,"turn_finish_nonint",,FALSE,
119,1085.33,1,40.8102071687991,-96.6896723583341,45,,"begin_stop|turn_begin_nonint",,FALSE,14
120,1086.37,1,40.8102071687991,-96.6896723583341,45,,"finish_stop",,TRUE,14
121,1091.06,1,40.8103198380774,-96.6894255951047,45,,"turn_finish_nonint",,FALSE,
122,1108.03,2,40.8111537103085,-96.6894007846713,95,"starting point stop area","begin_stop",,FALSE,15
123,1328.54,2,40.8111537103085,-96.6894007846713,95,"starting point stop area","finish_stop|turn_begin_nonint",,TRUE,15
124,1337.03,2,40.811288196286,-96.689563728869,75,,"turn_finish_nonint",,FALSE,
125,1357.74,2,40.8112963222567,-96.6905045136809,80,,"begin_stop",,FALSE,16
126,1359.54,2,40.8112950327897,-96.6904961317778,80,,"begin_stop",,FALSE,33
127,1361.01,2,40.8112950327897,-96.6904961317778,80,,"finish_stop",,TRUE,33
128,1361.86,2,40.8113018996257,-96.6905594989658,80,,"enter_intersection",,FALSE,
129,1364.72,2,40.81130213581,-96.6905651986599,75,,"enter_intersection",,FALSE,
130,1366.67,2,40.8113457858099,-96.6906087845564,75,,"exit_intersection",,FALSE,
131,1385.92,2,40.8123242696231,-96.6906134784222,75,,"begin_stop",,TRUE,34
132,1387.69,2,40.8123242696231,-96.6906134784222,75,,"finish_stop",,TRUE,34
133,1391.19,2,40.8123768076311,-96.6906232014299,75,,"enter_intersection",,FALSE,
134,1394.42,2,40.8125031733924,-96.690731830895,70,,"exit_intersection",,FALSE,
135,1425.21,2,40.8125376969045,-96.6936641559005,75,,"begin_stop",,FALSE,18
136,1489.01,2,40.8125376969045,-96.6936641559005,75,,"finish_stop",,TRUE,18
137,1492.36,2,40.812541754911,-96.693758033216,75,,"enter_intersection",,FALSE,
138,1497.1,2,40.8125199368447,-96.6941784694791,75,,"exit_intersection",,FALSE,
139,1505.79,2,40.8124874576377,-96.6952003911138,75,,"enter_intersection",,FALSE,
140,1507.45,2,40.8124874567776,-96.6954263672233,75,,"exit_intersection",,FALSE,
141,1522.14,2,40.8124955758928,-96.696551553905,80,,"begin_stop",,FALSE,19
142,1566.5,2,40.8124955758928,-96.696551553905,80,,"finish_stop",,TRUE,19
143,1569.32,2,40.8124976064455,-96.6966467723251,80,,"enter_intersection",,FALSE,
144,1572.37,2,40.8124950697598,-96.6968794539571,80,,"exit_intersection",,FALSE,
145,1588.15,2,40.8125031905942,-96.6980006173253,80,,"begin_stop",,FALSE,20
146,1604.49,2,40.8125031905942,-96.6980006173253,80,,"finish_stop",,TRUE,20
147,1607.13,2,40.8125036999955,-96.6980891302228,80,,"enter_intersection",,FALSE,
148,1610.57,2,40.8124971030648,-96.6983238235116,75,,"exit_intersection",,FALSE,
149,1630.2,2,40.8125001439912,-96.6995864734054,75,,"enter_intersection",,FALSE,
150,1632.66,2,40.8124960852942,-96.6997816041112,75,,"exit_intersection",,FALSE,
151,1642.7,2,40.8125042026881,-96.7010449245572,75,,"enter_intersection",,FALSE,
152,1645.24,2,40.8125026808488,-96.7012950405478,75,,"exit_intersection",,FALSE,
153,1659.36,2,40.8125097883843,-96.7022894695401,60,,"begin_stop",,FALSE,21
154,1661.23,2,40.8125097883843,-96.7022894695401,60,,"finish_stop",,TRUE,21
155,1666.74,2,40.8125077597242,-96.7024966701865,75,,"enter_intersection",,FALSE,
156,1669.04,2,40.8125074827186,-96.702738404274,75,,"exit_intersection",,FALSE,
157,1685.6,2,40.8125135857286,-96.7039400339127,75,,"enter_intersection",,FALSE,
158,1688.08,2,40.8125130747792,-96.7041888087988,75,,"exit_intersection",,FALSE,
159,1696.8,2,40.8125171247024,-96.7053884267807,75,,"enter_intersection",,FALSE,
160,1698.81,2,40.8125148602064,-96.7055966332555,65,,"blinker_on",,FALSE,
161,1699.46,2,40.8125090028376,-96.7056988924742,75,,"exit_intersection",,FALSE,
162,1705.07,2,40.8125422636239,-96.7063717916608,60,,"lane_change_finish",,FALSE,
163,1712.67,2,40.812551126421,-96.7068891227245,75,,"enter_intersection",,FALSE,
164,1714.44,2,40.8125836057688,-96.7069548368454,75,,"exit_intersection",,FALSE,
165,1731.57,2,40.8134443347719,-96.7069729417562,80,,"begin_stop",,FALSE,22
166,1762.09,2,40.8134443347719,-96.7069729417562,80,,"finish_stop",,TRUE,22
167,1764.99,2,40.8134976234836,-96.7069702595472,75,,"enter_intersection",,FALSE,
168,1766.93,2,40.813628053307,-96.7069702595472,55,,"blinker_on",,FALSE,
169,1768.34,2,40.8137391968577,-96.7069702595472,75,,"exit_intersection",,FALSE,
170,1769.4,2,40.8137995882576,-96.706972271204,75,,"lane_change_begin",,FALSE,
171,1773.25,2,40.8141982111951,-96.7069270089269,65,,"lane_change_finish",,FALSE,
172,1777.61,2,40.8146501469882,-96.7069266736508,75,,"enter_intersection",,FALSE,
173,1779.97,2,40.8148668448094,-96.706932708621,75,,"exit_intersection",,FALSE,
174,1789.25,2,40.8157364305009,-96.70694578439,75,,"enter_intersection",,FALSE,
175,1790.82,2,40.8159432245599,-96.7069488018751,75,,"exit_intersection",,FALSE,
176,1802.68,2,40.8173239055042,-96.7070599459112,55,,"blinker_on",,FALSE,
177,1804.26,2,40.8175289493422,-96.707165054977,40,,"lane_change_begin",,FALSE,
178,1806.89,2,40.8177891728076,-96.7072669789195,40,,"lane_change_finish",,FALSE,
179,1818.4,2,40.8191245508961,-96.708103492856,70,,"enter_intersection",,FALSE,
180,1819.93,2,40.8192727408998,-96.7081705480814,75,,"exit_intersection",,FALSE,
181,1849.52,2,40.8220525298589,-96.707471832633,75,,"enter_intersection",,FALSE,
182,1855.2,2,40.822361827958,-96.7071275040507,75,,"exit_intersection",,FALSE,
183,1882.36,2,40.8246399000023,-96.7031528055668,55,,"blinker_on",,FALSE,
184,1888.31,2,40.8250458336656,-96.7023327201605,70,,"lane_change_begin",,FALSE,
185,1892.24,2,40.8252361021492,-96.701892837882,70,,"lane_change_finish",,FALSE,
186,1898.44,2,40.8253386093816,-96.7016863077879,75,,"begin_stop",,FALSE,23
187,1900.96,2,40.8253386093816,-96.7016863077879,75,,"finish_stop",,TRUE,23
188,1903.69,2,40.8253512917297,-96.7016494274139,75,,"enter_intersection",,FALSE,
189,1905.89,2,40.8254588637691,-96.7014180868864,75,,"exit_intersection",,FALSE,
190,1914.4,2,40.8259256898756,-96.7004994302988,30,,"blinker_on",,FALSE,
191,1918.8,2,40.8262869520652,-96.6997356712818,55,,"lane_change_begin",,FALSE,
192,1923.29,2,40.8264906819198,-96.699249856174,40,,"lane_change_finish",,FALSE,
193,1928.39,2,40.8266505058809,-96.6988213732839,75,,"enter_intersection",,FALSE,
194,1929.9,2,40.8266172742964,-96.6987036913633,75,,"exit_intersection",,FALSE,
195,1933.93,2,40.8263268453551,-96.6985263302922,55,,"blinker_on",,FALSE,
196,1935.7,2,40.826201474471,-96.6984612867236,70,,"lane_change_begin",,FALSE,
197,1939.41,2,40.8258018729029,-96.6981672495604,70,,"lane_change_finish",,FALSE,
198,1940.71,2,40.8256613207386,-96.698063313961,45,,"blinker_on",,FALSE,
199,1942.46,2,40.8253993031183,-96.6978691890836,75,,"lane_change_begin",,FALSE,
200,1945.62,2,40.8250212797025,-96.6975258663297,75,,"lane_change_finish",,FALSE,
201,1957.87,2,40.823706755094,-96.6961978375912,65,,"enter_intersection",,FALSE,
202,1959.51,2,40.8235149458451,-96.6959846019745,75,,"exit_intersection",,FALSE,
203,1986.14,2,40.821216780494,-96.6929154843092,75,,"begin_stop",,FALSE,24
204,2015.76,2,40.821216780494,-96.6929154843092,75,,"finish_stop",,TRUE,24
205,2018.35,2,40.8211680692681,-96.692875251174,75,,"enter_intersection",,FALSE,
206,2023.08,2,40.8208062581041,-96.692603006959,75,,"exit_intersection",,FALSE,
207,2067.84,2,40.8159599665019,-96.6940554231405,75,,"begin_stop",,FALSE,25
208,2081.27,2,40.8159599665019,-96.6940554231405,75,,"finish_stop",,TRUE,25
209,2083.94,2,40.8159041459646,-96.6940587759018,75,,"enter_intersection",,FALSE,
210,2086.48,2,40.8156904966121,-96.6940480470657,75,,"exit_intersection",,FALSE,
211,2099.04,2,40.8148610329445,-96.694061793387,75,,"begin_stop",,FALSE,26
212,2111.26,2,40.8148610329445,-96.694061793387,75,,"finish_stop",,TRUE,26
213,2114.32,2,40.8148054426662,-96.6940587759018,75,,"enter_intersection",,FALSE,
214,2117.46,2,40.8145948371422,-96.6940627992153,75,,"exit_intersection",,FALSE,
