clip,sample_idx,ts_utc,fix,lat_deg,lon_deg,speed_mph,bearing_raw,year2k,month,day,hour,minute,second
REC20230712-034110-133.mp4,0,,0,,,255,255,12,6,123,3,41,9
REC20230712-034110-133.mp4,1,,0,,,255,255,12,6,123,3,41,10
REC20230712-034110-133.mp4,2,,0,,,255,255,12,6,123,3,41,11
REC20230712-034110-133.mp4,3,,0,,,255,255,12,6,123,3,41,12
REC20230712-034110-133.mp4,4,,0,,,255,255,12,6,123,3,41,13
REC20230712-034110-133.mp4,5,,0,,,255,255,12,6,123,3,41,14
REC20230712-034110-133.mp4,6,,0,,,255,255,12,6,123,3,41,15
REC20230712-034110-133.mp4,7,,0,,,255,255,12,6,123,3,41,16
REC20230712-034110-133.mp4,8,,0,,,255,255,12,6,123,3,41,17
REC20230712-034110-133.mp4,9,2026-04-26T06:01:32+00:00,1,40.8413542,-96.7403725,0,0,26,4,26,6,1,32
REC20230712-034110-133.mp4,10,2026-04-26T06:01:33+00:00,1,40.8413625,-96.7403887,0,0,26,4,26,6,1,33
REC20230712-034110-133.mp4,11,2026-04-26T06:01:34+00:00,1,40.841381,-96.7403867,0,0,26,4,26,6,1,34
REC20230712-034110-133.mp4,12,2026-04-26T06:01:35+00:00,1,40.8413882,-96.7403878,0,0,26,4,26,6,1,35
REC20230712-034110-133.mp4,13,2026-04-26T06:01:36+00:00,1,40.841394,-96.7403893,0,0,26,4,26,6,1,36
REC20230712-034110-133.mp4,14,2026-04-26T06:01:37+00:00,1,40.841398,-96.7403903,0,0,26,4,26,6,1,37
REC20230712-034110-133.mp4,15,2026-04-26T06:01:38+00:00,1,40.8414002,-96.740392,0,0,26,4,26,6,1,38
REC20230712-034110-133.mp4,16,2026-04-26T06:01:39+00:00,1,40.8414027,-96.7403923,0,0,26,4,26,6,1,39
REC20230712-034110-133.mp4,17,2026-04-26T06:01:40+00:00,1,40.8414117,-96.7403875,0,0,26,4,26,6,1,40
REC20230712-034110-133.mp4,18,2026-04-26T06:01:41+00:00,1,40.841415,-96.7403875,0,0,26,4,26,6,1,41
REC20230712-034110-133.mp4,19,2026-04-26T06:01:42+00:00,1,40.8414185,-96.7403863,0,0,26,4,26,6,1,42
REC20230712-034110-133.mp4,20,2026-04-26T06:01:43+00:00,1,40.8414227,-96.7403838,0,0,26,4,26,6,1,43
REC20230712-034110-133.mp4,21,2026-04-26T06:01:44+00:00,1,40.8414273,-96.7403793,0,0,26,4,26,6,1,44
REC20230712-034110-133.mp4,22,2026-04-26T06:01:45+00:00,1,40.8414275,-96.74038,0,0,26,4,26,6,1,45
REC20230712-034110-133.mp4,23,2026-04-26T06:01:46+00:00,1,40.8414285,-96.7403787,0,0,26,4,26,6,1,46
REC20230712-034110-133.mp4,24,2026-04-26T06:01:47+00:00,1,40.841429,-96.7403792,0,0,26,4,26,6,1,47
REC20230712-034110-133.mp4,25,2026-04-26T06:01:48+00:00,1,40.8414285,-96.7403802,0,0,26,4,26,6,1,48
REC20230712-034110-133.mp4,26,2026-04-26T06:01:49+00:00,1,40.841428,-96.7403807,0,0,26,4,26,6,1,49
REC20230712-034110-133.mp4,27,2026-04-26T06:01:50+00:00,1,40.8414268,-96.7403818,0,0,26,4,26,6,1,50
REC20230712-034110-133.mp4,28,2026-04-26T06:01:51+00:00,1,40.841426,-96.7403832,0,0,26,4,26,6,1,51
REC20230712-034110-133.mp4,29,2026-04-26T06:01:52+00:00,1,40.8414245,-96.7403845,0,0,26,4,26,6,1,52
REC20230712-034110-133.mp4,30,2026-04-26T06:01:53+00:00,1,40.8414233,-96.740386,0,0,26,4,26,6,1,53
REC20230712-034110-133.mp4,31,2026-04-26T06:01:54+00:00,1,40.841423,-96.7403867,0,0,26,4,26,6,1,54
REC20230712-034110-133.mp4,32,2026-04-26T06:01:55+00:00,1,40.8414232,-96.7403873,0,0,26,4,26,6,1,55
REC20230712-034110-133.mp4,33,2026-04-26T06:01:56+00:00,1,40.8414235,-96.740387,0,0,26,4,26,6,1,56
REC20230712-034110-133.mp4,34,2026-04-26T06:01:57+00:00,1,40.8414238,-96.7403872,0,0,26,4,26,6,1,57
REC20230712-034110-133.mp4,35,2026-04-26T06:01:58+00:00,1,40.8414232,-96.7403875,0,0,26,4,26,6,1,58
REC20230712-034110-133.mp4,36,2026-04-26T06:01:59+00:00,1,40.8414232,-96.7403872,0,0,26,4,26,6,1,59
REC20230712-034110-133.mp4,37,2026-04-26T06:02:00+00:00,1,40.841423,-96.740387,0,0,26,4,26,6,2,0
REC20230712-034110-133.mp4,38,2026-04-26T06:02:01+00:00,1,40.8414227,-96.7403867,0,0,26,4,26,6,2,1
REC20230712-034110-133.mp4,39,2026-04-26T06:02:02+00:00,1,40.8414222,-96.7403867,0,0,26,4,26,6,2,2
REC20230712-034110-133.mp4,40,2026-04-26T06:02:03+00:00,1,40.8414217,-96.7403877,0,0,26,4,26,6,2,3
REC20230712-034110-133.mp4,41,2026-04-26T06:02:04+00:00,1,40.8414212,-96.7403882,0,0,26,4,26,6,2,4
REC20230712-034110-133.mp4,42,2026-04-26T06:02:05+00:00,1,40.8414213,-96.7403882,0,0,26,4,26,6,2,5
REC20230712-034110-133.mp4,43,2026-04-26T06:02:06+00:00,1,40.841421,-96.7403888,0,0,26,4,26,6,2,6
REC20230712-034110-133.mp4,44,2026-04-26T06:02:07+00:00,1,40.8414207,-96.7403897,0,0,26,4,26,6,2,7
REC20230712-034110-133.mp4,45,2026-04-26T06:02:08+00:00,1,40.841421,-96.7403895,0,0,26,4,26,6,2,8
REC20230712-034110-133.mp4,46,2026-04-26T06:02:09+00:00,1,40.8414215,-96.7403895,0,0,26,4,26,6,2,9
REC20230712-034110-133.mp4,47,2026-04-26T06:02:10+00:00,1,40.8414222,-96.7403897,0,0,26,4,26,6,2,10
REC20230712-034110-133.mp4,48,2026-04-26T06:02:11+00:00,1,40.8414232,-96.7403885,0,0,26,4,26,6,2,11
REC20230712-034110-133.mp4,49,2026-04-26T06:02:12+00:00,1,40.8414235,-96.7403882,0,0,26,4,26,6,2,12
REC20230712-034110-133.mp4,50,2026-04-26T06:02:13+00:00,1,40.8414238,-96.740388,0,0,26,4,26,6,2,13
REC20230712-034110-133.mp4,51,2026-04-26T06:02:14+00:00,1,40.841424,-96.7403873,0,0,26,4,26,6,2,14
REC20230712-034110-133.mp4,52,2026-04-26T06:02:15+00:00,1,40.8414238,-96.740387,0,0,26,4,26,6,2,15
REC20230712-034110-133.mp4,53,2026-04-26T06:02:16+00:00,1,40.8414235,-96.7403867,0,0,26,4,26,6,2,16
REC20230712-034110-133.mp4,54,2026-04-26T06:02:17+00:00,1,40.8414235,-96.7403863,0,0,26,4,26,6,2,17
REC20230712-034110-133.mp4,55,2026-04-26T06:02:18+00:00,1,40.8414233,-96.740386,0,0,26,4,26,6,2,18
REC20230712-034110-133.mp4,56,2026-04-26T06:02:19+00:00,1,40.8414233,-96.7403853,0,0,26,4,26,6,2,19
REC20230712-034110-133.mp4,57,2026-04-26T06:02:20+00:00,1,40.8414235,-96.7403845,0,0,26,4,26,6,2,20
REC20230712-034110-133.mp4,58,2026-04-26T06:02:21+00:00,1,40.8414233,-96.740384,0,0,26,4,26,6,2,21
REC20230712-034110-133.mp4,59,2026-04-26T06:02:22+00:00,1,40.8414233,-96.7403838,0,0,26,4,26,6,2,22
REC20230712-034110-133.mp4,60,2026-04-26T06:02:23+00:00,1,40.8414237,-96.7403838,0,0,26,4,26,6,2,23
REC20230712-034208-134.mp4,0,2026-04-26T06:02:24+00:00,1,40.8414243,-96.7403837,0,0,26,4,26,6,2,24
REC20230712-034208-134.mp4,1,2026-04-26T06:02:25+00:00,1,40.841425,-96.7403833,0,0,26,4,26,6,2,25
REC20230712-034208-134.mp4,2,2026-04-26T06:02:26+00:00,1,40.841426,-96.7403825,0,0,26,4,26,6,2,26
REC20230712-034208-134.mp4,3,2026-04-26T06:02:27+00:00,1,40.8414267,-96.7403818,0,0,26,4,26,6,2,27
REC20230712-034208-134.mp4,4,2026-04-26T06:02:28+00:00,1,40.8414267,-96.7403815,0,0,26,4,26,6,2,28
REC20230712-034208-134.mp4,5,2026-04-26T06:02:29+00:00,1,40.8414273,-96.7403812,0,0,26,4,26,6,2,29
REC20230712-034208-134.mp4,6,2026-04-26T06:02:30+00:00,1,40.8414275,-96.740381,0,0,26,4,26,6,2,30
REC20230712-034208-134.mp4,7,2026-04-26T06:02:31+00:00,1,40.8414273,-96.7403812,0,0,26,4,26,6,2,31
REC20230712-034208-134.mp4,8,2026-04-26T06:02:32+00:00,1,40.8414273,-96.740381,0,0,26,4,26,6,2,32
REC20230712-034208-134.mp4,9,2026-04-26T06:02:33+00:00,1,40.8414277,-96.7403813,0,0,26,4,26,6,2,33
REC20230712-034208-134.mp4,10,2026-04-26T06:02:34+00:00,1,40.8414278,-96.740381,0,0,26,4,26,6,2,34
REC20230712-034208-134.mp4,11,2026-04-26T06:02:35+00:00,1,40.8414282,-96.740381,0,0,26,4,26,6,2,35
REC20230712-034208-134.mp4,12,2026-04-26T06:02:36+00:00,1,40.8414288,-96.7403807,0,0,26,4,26,6,2,36
