clip,sample_idx,ts_utc,lat_deg,lon_deg,speed_mph,fix
GRMN0140.MP4,0,2026-04-26T06:01:15+00:00,,,0,0
GRMN0140.MP4,1,2026-04-26T06:01:16+00:00,,,0,0
GRMN0140.MP4,2,2026-04-26T06:01:17+00:00,,,0,0
GRMN0140.MP4,3,2026-04-26T06:01:18+00:00,,,0,0
GRMN0140.MP4,4,2026-04-26T06:01:19+00:00,,,0,0
GRMN0140.MP4,5,2026-04-26T06:01:20+00:00,,,0,0
GRMN0140.MP4,6,2026-04-26T06:01:21+00:00,,,0,0
GRMN0140.MP4,7,2026-04-26T06:01:22+00:00,,,0,0
GRMN0140.MP4,8,2026-04-26T06:01:23+00:00,,,0,0
GRMN0140.MP4,9,2026-04-26T06:01:24+00:00,,,0,0
GRMN0140.MP4,10,2026-04-26T06:01:25+00:00,,,0,0
GRMN0140.MP4,11,2026-04-26T06:01:26+00:00,,,0,0
GRMN0140.MP4,12,2026-04-26T06:01:27+00:00,,,0,0
GRMN0140.MP4,13,2026-04-26T06:01:28+00:00,,,0,0
GRMN0140.MP4,14,2026-04-26T06:01:29+00:00,,,0,0
GRMN0140.MP4,15,2026-04-26T06:01:30+00:00,,,0,0
GRMN0140.MP4,16,2026-04-26T06:01:31+00:00,,,0,0
GRMN0140.MP4,17,2026-04-26T06:01:32+00:00,,,0,0
GRMN0140.MP4,18,2026-04-26T06:01:33+00:00,,,0,0
GRMN0140.MP4,19,2026-04-26T06:01:34+00:00,,,0,0
GRMN0140.MP4,20,2026-04-26T06:01:35+00:00,,,0,0
GRMN0140.MP4,21,2026-04-26T06:01:36+00:00,,,0,0
GRMN0140.MP4,22,2026-04-26T06:01:37+00:00,,,0,0
GRMN0140.MP4,23,2026-04-26T06:01:38+00:00,,,0,0
GRMN0140.MP4,24,2026-04-26T06:01:39+00:00,,,0,0
GRMN0140.MP4,25,2026-04-26T06:01:40+00:00,,,0,0
GRMN0140.MP4,26,2026-04-26T06:01:41+00:00,,,0,0
GRMN0140.MP4,27,2026-04-26T06:01:42+00:00,,,0,0
GRMN0140.MP4,28,2026-04-26T06:01:43+00:00,,,0,0
GRMN0140.MP4,29,2026-04-26T06:01:44+00:00,,,0,0
GRMN0140.MP4,30,2026-04-26T06:01:45+00:00,,,0,0
GRMN0140.MP4,31,2026-04-26T06:01:46+00:00,,,0,0
GRMN0140.MP4,32,2026-04-26T06:01:47+00:00,,,0,0
GRMN0140.MP4,33,2026-04-26T06:01:48+00:00,,,0,0
GRMN0140.MP4,34,2026-04-26T06:01:49+00:00,,,0,0
GRMN0140.MP4,35,2026-04-26T06:01:50+00:00,,,0,0
GRMN0140.MP4,36,2026-04-26T06:01:51+00:00,,,0,0
GRMN0140.MP4,37,2026-04-26T06:01:52+00:00,,,0,0
GRMN0140.MP4,38,2026-04-26T06:01:53+00:00,,,0,0
GRMN0140.MP4,39,2026-04-26T06:01:54+00:00,,,0,0
GRMN0140.MP4,40,2026-04-26T06:01:55+00:00,,,0,0
GRMN0140.MP4,41,2026-04-26T06:01:56+00:00,,,0,0
GRMN0140.MP4,42,2026-04-26T06:01:57+00:00,,,0,0
GRMN0140.MP4,43,2026-04-26T06:01:58+00:00,,,0,0
GRMN0140.MP4,44,2026-04-26T06:01:59+00:00,,,0,0
GRMN0140.MP4,45,2026-04-26T06:02:00+00:00,,,0,0
GRMN0140.MP4,46,2026-04-26T06:02:01+00:00,,,0,0
GRMN0140.MP4,47,2026-04-26T06:02:02+00:00,,,0,0
GRMN0140.MP4,48,2026-04-26T06:02:03+00:00,,,0,0
GRMN0140.MP4,49,2026-04-26T06:02:04+00:00,,,0,0
GRMN0140.MP4,50,2026-04-26T06:02:05+00:00,,,0,0
GRMN0140.MP4,51,2026-04-26T06:02:06+00:00,,,0,0
GRMN0140.MP4,52,2026-04-26T06:02:07+00:00,,,0,0
GRMN0140.MP4,53,2026-04-26T06:02:08+00:00,,,0,0
GRMN0140.MP4,54,2026-04-26T06:02:09+00:00,,,0,0
GRMN0140.MP4,55,2026-04-26T06:02:10+00:00,,,0,0
GRMN0140.MP4,56,2026-04-26T06:02:11+00:00,,,0,0
GRMN0140.MP4,57,2026-04-26T06:02:12+00:00,,,0,0
GRMN0140.MP4,58,2026-04-26T06:02:13+00:00,,,0,0
GRMN0140.MP4,59,2026-04-26T06:02:14+00:00,,,0,0
GRMN0141.MP4,0,2026-04-26T06:02:15+00:00,,,0,0
GRMN0141.MP4,1,2026-04-26T06:02:16+00:00,,,0,0
GRMN0141.MP4,2,2026-04-26T06:02:17+00:00,,,0,0
GRMN0141.MP4,3,2026-04-26T06:02:18+00:00,,,0,0
GRMN0141.MP4,4,2026-04-26T06:02:19+00:00,,,0,0
GRMN0141.MP4,5,2026-04-26T06:02:20+00:00,,,0,0
GRMN0141.MP4,6,2026-04-26T06:02:21+00:00,,,0,0
GRMN0141.MP4,7,2026-04-26T06:02:22+00:00,,,0,0
GRMN0141.MP4,8,2026-04-26T06:02:23+00:00,,,0,0
GRMN0141.MP4,9,2026-04-26T06:02:24+00:00,,,0,0
GRMN0141.MP4,10,2026-04-26T06:02:25+00:00,,,0,0
GRMN0141.MP4,11,2026-04-26T06:02:26+00:00,,,0,0
GRMN0141.MP4,12,2026-04-26T06:02:27+00:00,,,0,0
GRMN0141.MP4,13,2026-04-26T06:02:28+00:00,,,0,0
GRMN0141.MP4,14,2026-04-26T06:02:29+00:00,,,0,0
GRMN0141.MP4,15,2026-04-26T06:02:30+00:00,,,0,0
GRMN0141.MP4,16,2026-04-26T06:02:31+00:00,,,0,0
GRMN0141.MP4,17,2026-04-26T06:02:32+00:00,,,0,0
GRMN0141.MP4,18,2026-04-26T06:02:33+00:00,,,0,0
GRMN0141.MP4,19,2026-04-26T06:02:34+00:00,,,0,0
GRMN0141.MP4,20,2026-04-26T06:02:35+00:00,,,0,0
GRMN0141.MP4,21,2026-04-26T06:02:36+00:00,,,0,0
GRMN0141.MP4,22,2026-04-26T06:02:37+00:00,,,0,0
GRMN0141.MP4,23,2026-04-26T06:02:38+00:00,,,0,0
GRMN0141.MP4,24,2026-04-26T06:02:39+00:00,,,0,0
GRMN0141.MP4,25,2026-04-26T06:02:40+00:00,,,0,0
GRMN0141.MP4,26,2026-04-26T06:02:41+00:00,,,0,0
GRMN0141.MP4,27,2026-04-26T06:02:42+00:00,,,0,0
GRMN0141.MP4,28,2026-04-26T06:02:43+00:00,,,0,0
GRMN0141.MP4,29,2026-04-26T06:02:44+00:00,,,0,0
GRMN0141.MP4,30,2026-04-26T06:02:45+00:00,40.8414265,-96.7402607,0,1
GRMN0141.MP4,31,2026-04-26T06:02:46+00:00,40.8414352,-96.7403345,31,1
GRMN0141.MP4,32,2026-04-26T06:02:47+00:00,40.8414476,-96.7404181,31,1
GRMN0141.MP4,33,2026-04-26T06:02:48+00:00,40.8414563,-96.7404748,0,1
GRMN0141.MP4,34,2026-04-26T06:02:49+00:00,40.8414534,-96.7404224,4,1
GRMN0141.MP4,35,2026-04-26T06:02:50+00:00,40.8414244,-96.740403,4,1
GRMN0141.MP4,36,2026-04-26T06:02:51+00:00,40.8414331,-96.7404067,4,1
GRMN0141.MP4,37,2026-04-26T06:02:52+00:00,40.841422,-96.7403959,3,1
GRMN0141.MP4,38,2026-04-26T06:02:53+00:00,40.8414211,-96.7403917,3,1
GRMN0141.MP4,39,2026-04-26T06:02:54+00:00,40.8414253,-96.7404083,3,1
GRMN0141.MP4,40,2026-04-26T06:02:55+00:00,40.8414295,-96.7404249,3,1
GRMN0141.MP4,41,2026-04-26T06:02:56+00:00,40.8414225,-96.7403905,2,1
GRMN0141.MP4,42,2026-04-26T06:02:57+00:00,40.8414229,-96.7403886,0,1
GRMN0141.MP4,43,2026-04-26T06:02:58+00:00,40.8414238,-96.7403885,0,1
GRMN0141.MP4,44,2026-04-26T06:02:59+00:00,40.8414243,-96.7403878,0,1
GRMN0141.MP4,45,2026-04-26T06:03:00+00:00,40.8414252,-96.7403903,2,1
GRMN0141.MP4,46,2026-04-26T06:03:01+00:00,40.8414266,-96.7403891,0,1
GRMN0141.MP4,47,2026-04-26T06:03:02+00:00,40.8414281,-96.7403918,0,1
GRMN0141.MP4,48,2026-04-26T06:03:03+00:00,40.8414305,-96.7403979,0,1
GRMN0141.MP4,49,2026-04-26T06:03:04+00:00,40.8414321,-96.7404033,0,1
GRMN0141.MP4,50,2026-04-26T06:03:05+00:00,40.8414337,-96.7404095,0,1
GRMN0141.MP4,51,2026-04-26T06:03:06+00:00,40.8414346,-96.740412,0,1
GRMN0141.MP4,52,2026-04-26T06:03:07+00:00,40.8414342,-96.7404099,0,1
GRMN0141.MP4,53,2026-04-26T06:03:08+00:00,40.8414331,-96.7404053,0,1
GRMN0141.MP4,54,2026-04-26T06:03:09+00:00,40.8414321,-96.7404006,0,1
GRMN0141.MP4,55,2026-04-26T06:03:10+00:00,40.8414321,-96.7404001,0,1
GRMN0141.MP4,56,2026-04-26T06:03:11+00:00,40.8414323,-96.7404002,0,1
GRMN0141.MP4,57,2026-04-26T06:03:12+00:00,40.8414327,-96.7404009,0,1
GRMN0141.MP4,58,2026-04-26T06:03:13+00:00,40.841433,-96.7404012,0,1
GRMN0141.MP4,59,2026-04-26T06:03:14+00:00,40.8414332,-96.7404016,0,1
GRMN0142.MP4,0,2026-04-26T06:03:15+00:00,40.8414335,-96.7404015,0,1
GRMN0142.MP4,1,2026-04-26T06:03:16+00:00,40.8414337,-96.7404014,0,1
GRMN0142.MP4,2,2026-04-26T06:03:17+00:00,40.8414337,-96.7404015,0,1
GRMN0142.MP4,3,2026-04-26T06:03:18+00:00,40.841434,-96.7404016,0,1
GRMN0142.MP4,4,2026-04-26T06:03:19+00:00,40.8414342,-96.7404014,0,1
GRMN0142.MP4,5,2026-04-26T06:03:20+00:00,40.8414347,-96.7404011,0,1
GRMN0142.MP4,6,2026-04-26T06:03:21+00:00,40.8414352,-96.7404007,0,1
GRMN0142.MP4,7,2026-04-26T06:03:22+00:00,40.8414356,-96.7404002,0,1
GRMN0142.MP4,8,2026-04-26T06:03:23+00:00,40.8414358,-96.7403996,0,1
GRMN0142.MP4,9,2026-04-26T06:03:24+00:00,40.8414362,-96.7403988,0,1
GRMN0142.MP4,10,2026-04-26T06:03:25+00:00,40.8414367,-96.740398,0,1
GRMN0142.MP4,11,2026-04-26T06:03:26+00:00,40.8414376,-96.740397,0,1
GRMN0142.MP4,12,2026-04-26T06:03:27+00:00,40.8414383,-96.7403959,0,1
GRMN0142.MP4,13,2026-04-26T06:03:28+00:00,40.8414392,-96.7403945,0,1
GRMN0142.MP4,14,2026-04-26T06:03:29+00:00,40.8414397,-96.7403931,0,1
GRMN0142.MP4,15,2026-04-26T06:03:30+00:00,40.8414403,-96.7403918,0,1
GRMN0142.MP4,16,2026-04-26T06:03:31+00:00,40.8414408,-96.7403911,0,1
GRMN0142.MP4,17,2026-04-26T06:03:32+00:00,40.8414413,-96.74039,0,1
GRMN0142.MP4,18,2026-04-26T06:03:33+00:00,40.8414418,-96.7403887,0,1
GRMN0142.MP4,19,2026-04-26T06:03:34+00:00,40.841442,-96.7403871,0,1
GRMN0142.MP4,20,2026-04-26T06:03:35+00:00,40.8414423,-96.7403854,0,1
GRMN0142.MP4,21,2026-04-26T06:03:36+00:00,40.8414425,-96.7403836,0,1
GRMN0142.MP4,22,2026-04-26T06:03:37+00:00,40.8414428,-96.7403812,0,1
GRMN0142.MP4,23,2026-04-26T06:03:38+00:00,40.8414429,-96.7403793,0,1
GRMN0142.MP4,24,2026-04-26T06:03:39+00:00,40.8414428,-96.7403778,0,1
GRMN0142.MP4,25,2026-04-26T06:03:40+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,26,2026-04-26T06:03:41+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,27,2026-04-26T06:03:42+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,28,2026-04-26T06:03:43+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,29,2026-04-26T06:03:44+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,30,2026-04-26T06:03:45+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,31,2026-04-26T06:03:46+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,32,2026-04-26T06:03:47+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,33,2026-04-26T06:03:48+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,34,2026-04-26T06:03:49+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,35,2026-04-26T06:03:50+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,36,2026-04-26T06:03:51+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,37,2026-04-26T06:03:52+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,38,2026-04-26T06:03:53+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,39,2026-04-26T06:03:54+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,40,2026-04-26T06:03:55+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,41,2026-04-26T06:03:56+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,42,2026-04-26T06:03:57+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,43,2026-04-26T06:03:58+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,44,2026-04-26T06:03:59+00:00,40.8414429,-96.7403776,0,1
GRMN0142.MP4,45,2026-04-26T06:04:00+00:00,40.8414429,-96.7403776,0,1
