"timeSec","segment","latitude","longitude"
0,1,40.8111465928225,-96.6894027963281
0.1,1,40.8111465928225,-96.6894027963281
0.2,1,40.8111465928225,-96.6894027963281
0.3,1,40.8111465928225,-96.6894027963281
0.4,1,40.8111465928225,-96.6894027963281
0.5,1,40.8111465928225,-96.6894027963281
0.6,1,40.8111465928225,-96.6894027963281
0.7,1,40.8111465928225,-96.6894027963281
0.8,1,40.8111465928225,-96.6894027963281
0.9,1,40.8111465928225,-96.6894027963281
1,1,40.8111465928225,-96.6894027963281
1.1,1,40.8111465928225,-96.6894027963281
1.2,1,40.8111465928225,-96.6894027963281
1.3,1,40.8111465928225,-96.6894027963281
1.4,1,40.8111465928225,-96.6894027963281
1.5,1,40.8111465928225,-96.6894027963281
1.6,1,40.8111465928225,-96.6894027963281
1.7,1,40.8111465928225,-96.6894027963281
1.8,1,40.8111465928225,-96.6894027963281
1.9,1,40.8111465928225,-96.6894027963281
2,1,40.8111465928225,-96.6894027963281
2.1,1,40.8111465928225,-96.6894027963281
2.2,1,40.8111465928225,-96.6894027963281
2.3,1,40.8111465928225,-96.6894027963281
2.4,1,40.8111465928225,-96.6894027963281
2.5,1,40.8111465928225,-96.6894027963281
2.6,1,40.8111465928225,-96.6894027963281
2.7,1,40.8111465928225,-96.6894027963281
2.8,1,40.8111465928225,-96.6894027963281
2.9,1,40.8111465928225,-96.6894027963281
3,1,40.8111465928225,-96.6894027963281
3.1,1,40.8111465928225,-96.6894027963281
3.2,1,40.8111465928225,-96.6894027963281
3.3,1,40.8111465928225,-96.6894027963281
3.4,1,40.8111465928225,-96.6894027963281
3.5,1,40.8111465928225,-96.6894027963281
3.6,1,40.8111465928225,-96.6894027963281
3.7,1,40.8111465928225,-96.6894027963281
3.8,1,40.8111465928225,-96.6894027963281
3.9,1,40.8111465928225,-96.6894027963281
4,1,40.8111465928225,-96.6894027963281
4.1,1,40.8111465928225,-96.6894027963281
4.2,1,40.8111465928225,-96.6894027963281
4.3,1,40.8111465928225,-96.6894027963281
